Type,TypeText,Subcategory,Category
18AB,ABANDONED BOAT,abandoned property,property issue
21AB,ABANDONED BOAT,abandoned property,property issue
18A,ABANDONED VEHICLE,abandoned property,property issue
ABVEH,ABANDONED VEHICLE,abandoned property,property issue
21B,BLIGHTED PROPERTY,abandoned property,property issue
ALRMCB,ALARM: COMMERCIAL - BURGLARY,alarm,alarm
ALRMCH,ALARM: COMMERCIAL - HOLDUP,alarm,alarm
ALRMRB,ALARM: RESIDENTIAL - BURGLARY,alarm,alarm
ALRMRH,ALARM: RESIDENTIAL - PANIC,alarm,alarm
ALRM,ALARM: UNKNOWN TYPE,alarm,alarm
62A,BURGLAR ALARM,alarm,alarm
62ANR,BURGLAR ALARM,alarm,alarm
62L,BURGLAR ALARM,alarm,alarm
62AB,BURGLARY ALARM - BUSINESS,alarm,alarm
62AR,BURGLARY ALRAM - RESIDENTIAL,alarm,alarm
64A,HOLD UP ALARM,alarm,alarm
64AR,PANIC/HOLDUP ALRAM - RESIDENTIAL,alarm,alarm
DRUG,DRUG ACTIVITY,alcohol or drugs,public disorder
966,DRUG VIOLATIONS,alcohol or drugs,public disorder
19,DRUNK,alcohol or drugs,public disorder
DRUNK,DRUNK IN PUBLIC,alcohol or drugs,public disorder
102,CRUELTY TO ANIMALS,animals,animals
17J,JUVENILE ATTACHMENT,attachment,police procedure
17F,FUGITIVE ATTACHMENT,attachment,police procedure
17M,MUNICIPAL ATTACHMENT,attachment,police procedure
17R,WARR STOP WITH RELEASE,attachment,police procedure
WARRA,WARRANT SERVICE: ARREST,attachment,police procedure
51B,BOMB SCARE,bomb,weapon issue
AREACK,AREA CHECK,checking,police procedure
22A,AREA CHECK,checking,police procedure
BUSCK,BUSINESS CHECK,checking,police procedure
22B,BUSINESS CHECK,checking,police procedure
RESCK,RESIDENCE CHECK,checking,police procedure
22R,RESIDENCE CHECK,checking,police procedure
22N,TROOP N AREA - BUSINESS - RESIDENCE CHECK,checking,police procedure
WELFARE,WELFARE CHECK,checking,police procedure
MISC,MISCELLANEOUS COMPLAINT,complaint,complaint
21N,NOISE COMPLAINT,complaint,complaint
21,COMPLAINT OTHER,complaint,complaint
ACC,ACCIDENT - PROPERTY DAMAGE,damage,property issue
20XI,ACCIDENT WITH INJURY IN PD VEH,damage,property issue
55,AGGRAVATED CRIMINAL DAMAGE,damage,criminal issue
56,SIMPLE CRIMINAL DAMAGE,damage,criminal issue
56D,CRIMINAL DAMAGE DOMESTIC,damage,criminal issue
DESTR,DESTRUCTION OF PROPERTY,damage,criminal issue
59,CRIMINAL MISCHIEF,damage,criminal issue
29,DEATH,fatal case,personal issue
30,HOMICIDE,fatal case,criminal issue
30S,HOMICIDE BY SHOOTING,fatal case,criminal issue
29S,SUICIDE,fatal case,personal issue
29SA,SUICIDE ATTEMPT,fatal case,personal issue
SUIAP,SUICIDE ATTEMPT (PD),fatal case,personal issue
29ST,SUICIDE THREAT,fatal case,personal issue
SUIT,SUICIDE THREAT (FD NOT ENR),fatal case,personal issue
DEADPU,UNCLASSIFIED DEATH,fatal case,personal issue
29U,UNCLASSIFIED DEATH,fatal case,personal issue
51,AGGRAVATED ARSON,fire incident,property issue
ARSONP,ARSON INCIDENT (PD),fire incident,property issue
52,SIMPLE ARSON,fire incident,property issue
52D,SIMPLE ARSON DOMESTIC,fire incident,property issue
94F,FIREWORKS,fire incident,property issue
52F,FIRE,fire incident,property issue
FVEHP,FIRE: VEHICLE (PD),fire incident,property issue
FSERVP,SERVICE TO FIRE DEPT (PD),fire incident,property issue
FRWORK,ILLEGAL FIREWORKS,fire incident,property issue
60,AGGRAVATED BURGLARY,illegal entry,criminal issue
60D,AGGRAVATED BURGLARY DOMESTIC,illegal entry,criminal issue
27-62,ATTEMPTED SIMPLE BURGLARY,illegal entry,criminal issue
BURGV,BURGLARY FROM VEHICLE,illegal entry,criminal issue
BURGOC,BURGLARY OCCUPIED DWELLING,illegal entry,criminal issue
62B,BUSINESS BURGLARY,illegal entry,criminal issue
BURGC,COMMERCIAL BURGLARY,illegal entry,criminal issue
62R,RESIDENCE BURGLARY,illegal entry,criminal issue
BURGR,RESIDENTAL BURGLARY (NOT OCCUPIED AT TIME OF INCIDENT),illegal entry,criminal issue
62,SIMPLE BURGLARY,illegal entry,criminal issue
62D,SIMPLE BURGLARY DOMESTIC,illegal entry,criminal issue
62C,SIMPLE BURGLARY VEHICLE,illegal entry,criminal issue
92,CONTRIBUTING TO DELINQUENCY,involving of  a person in illegal activity,criminal issue
46,HUMAN TRAFFICKING,involving of  a person in illegal activity,criminal issue
ABDUCT,ABDUCTION,kidnapping,criminal issue
45D,ABDUCTION/CUSTODY DISPUTE DOMESTIC,kidnapping,criminal issue
44,AGGRAVATED KIDNAPPING,kidnapping,criminal issue
44H,HOSTAGE SITUATION,kidnapping,criminal issue
PROP,LOST OR FOUND PROPERTY,lost property,criminal issue
21P,LOST PROPERTY,lost property,criminal issue
ACCIMP,ACCIDENT W/INJ - MEDIC REQ (PD),medical incident,medical issue
24,MEDICAL,medical incident,medical issue
24N,MEDICAL - NALOXONE,medical incident,medical issue
PDMED,MEDICAL INCIDENT (PD),medical incident,medical issue
103MV,MENTAL HEALTH CRISIS - VIOLENT,mental patient,personal issue
103M,MENTAL PATIENT,mental patient,personal issue
MENTP,MENTAL PATIENT TRANSPORT,mental patient,personal issue
CIT,MENTAL PERSON: NON VIOLENT,mental patient,personal issue
CRIMIS,CRITICAL MISSING PERSON,missing person,personal issue
21M,MISSING ADULT,missing person,personal issue
MISS,MISSING ADULT,missing person,personal issue
21J,MISSING JUVENILE,missing person,personal issue
21F,FLOOD EVENT,natural disaster,natural issue
FLOODS,FLOODED STREET,natural disaster,natural issue
18F,FLOODED VEHICLE,natural disaster,natural issue
ACCITP,ACCIDENT W/INJ - POSSIBLY TRAPPED (PD),person in dangerous situation,personal issue
LOCKP,LOCK OUT (PD),person in dangerous situation,personal issue
21C,CURFEW VIOLATION,person in dangerous situation,personal issue
FRAUD,FRAUD/FLIMFLAM,person in dangerous situation,personal issue
39,NEGLIENT INJURY,person in dangerous situation,personal issue
66,EXTORTION (THREATS),person in dangerous situation,personal issue
66D,EXTORTION (THREATS) DOMESTIC,person in dangerous situation,personal issue
1028,AIR CLEARANCE REQUEST,police protocol action,police procedure
ALRMBH,ALARM: BANK - HOLDUP,police protocol action,police procedure
COURT,COURT,police protocol action,police procedure
